Material,Magnetic Entropy Change,Magnetic Field,Curie Temperature,source,Number,Article Title,Source Title,DOI,mpid
ErAlO3,9.7,5 T,,table_only_1stcheck4696.txt,141,Large rotating magnetocaloric effect in ErAlO3 single crystal,AIP ADVANCES,10.1063/1.4974915,Mp-00484
HoCrO3,8.73,70 kOe, ,table_only_1stcheck4722.txt,378,Particle size dependence of the magnetic and magneto-caloric properties of HoCrO3,JOURNAL OF APPLIED PHYSICS,10.1063/1.4975405,Mp-00485
GdVO4,35.77,5 T,,table_only_1stcheck4734.txt,316,Shape-controlled microwave hydrothermal synthesis of antiferromagnetic GdVO4 nanowires for magnetocaloric materials,CURRENT APPLIED PHYSICS,10.1016/j.cap.2020.03.005,Mp-00486
La2CrMnO6,1.31,0-7 T,112,table_only_1stcheck4735.txt,418,"Magnetocaloric properties and critical behavior in double perovskite RE2CrMnO6 (RE = La, Pr, and Nd) compounds",CERAMICS INTERNATIONAL,10.1016/j.ceramint.2020.06.290,Mp-00487
ErZn,23.3,7 T,20,table_only_1stcheck4742.txt,169,Observation of large magnetocaloric effect in equiatomic binary compound ErZn,AIP ADVANCES,10.1063/1.4972796,Mp-00488
Dy2CoMnO6,9.1,6 T,88,table_only_1stcheck4750.txt,56,"Magnetic field-induced metamagnetism and magnetocaloric effect in double perovskites Re2CoMnO6 (Re=Sm, Dy)",MATERIALS CHEMISTRY AND PHYSICS,10.1016/j.matchemphys.2017.09.009,Mp-00489
Sm2CoMnO6,1.4,6 T,123,table_only_1stcheck4750.txt,515,"Magnetic field-induced metamagnetism and magnetocaloric effect in double perovskites Re2CoMnO6 (Re=Sm, Dy)",MATERIALS CHEMISTRY AND PHYSICS,10.1016/j.matchemphys.2017.09.009,Mp-00490
CaBaCo4O7,3,7 T,60,table_only_1stcheck4760.txt,18,Magnetocaloric properties and Griffiths phase of ferrimagnetic cobaltite CaBaCo4O7,CHINESE PHYSICS B,10.1088/1674-1056/ac8f39,Mp-00491
Ho2O3,31.9,5 T,,table_only_1stcheck4770.txt,340,Large reversible magnetocaloric effect in antiferromagnetic Ho2O3 powders,SCIENTIFIC REPORTS,10.1038/s41598-017-14279-y,Mp-00492
Dy2Cr2C3,9.04,0-5 T,,table_only_1stcheck4772.txt,59,"Excellent magnetocaloric performance in the carbide compounds RE2Cr2C3 (RE = Er, Ho, and Dy) and their composites",MATERIALS TODAY PHYSICS,10.1016/j.mtphys.2022.100786,Mp-00493
